127.0.0.1 - - [26/Dec/2020:14:26:37 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Dec/2020:14:26:38 +0900] "GET /fashion/main/main.jsp HTTP/1.1" 200 2934
0:0:0:0:0:0:0:1 - - [26/Dec/2020:14:26:38 +0900] "GET /w3images/avatar_g2.jpg HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [26/Dec/2020:14:26:38 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Dec/2020:14:36:05 +0900] "GET /fashion/main/main.jsp HTTP/1.1" 200 2863
0:0:0:0:0:0:0:1 - - [26/Dec/2020:14:36:05 +0900] "GET /fashion/main/main.jsp HTTP/1.1" 200 2863
0:0:0:0:0:0:0:1 - - [26/Dec/2020:14:36:05 +0900] "GET /w3images/avatar_g2.jpg HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [26/Dec/2020:14:36:05 +0900] "GET /fashion/main/main.jsp HTTP/1.1" 200 2863
0:0:0:0:0:0:0:1 - - [26/Dec/2020:14:36:05 +0900] "GET /w3images/avatar_g2.jpg HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [26/Dec/2020:14:36:05 +0900] "GET /fashion/main/main.jsp HTTP/1.1" 200 2863
0:0:0:0:0:0:0:1 - - [26/Dec/2020:14:36:06 +0900] "GET /w3images/avatar_g2.jpg HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [26/Dec/2020:14:36:23 +0900] "GET /fashion/main/main.jsp HTTP/1.1" 200 2863
0:0:0:0:0:0:0:1 - - [26/Dec/2020:14:36:23 +0900] "GET /w3images/avatar_g2.jpg HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [26/Dec/2020:14:36:23 +0900] "GET /fashion/main/main.jsp HTTP/1.1" 200 2863
0:0:0:0:0:0:0:1 - - [26/Dec/2020:14:36:23 +0900] "GET /w3images/avatar_g2.jpg HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [26/Dec/2020:14:36:24 +0900] "GET /fashion/main/main.jsp HTTP/1.1" 200 2863
0:0:0:0:0:0:0:1 - - [26/Dec/2020:14:36:24 +0900] "GET /w3images/avatar_g2.jpg HTTP/1.1" 404 833
0:0:0:0:0:0:0:1 - - [26/Dec/2020:14:36:24 +0900] "GET /fashion/main/main.jsp HTTP/1.1" 200 2863
0:0:0:0:0:0:0:1 - - [26/Dec/2020:14:36:24 +0900] "GET /w3images/avatar_g2.jpg HTTP/1.1" 404 833
